Request Number,Date Opened,Request,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,address_norm,date_only,new_event,event_id,event_date,event_seq,fine_event,first_event
155122,2019-03-15,Trash - Curbside/Alley Missed Pickup,MISS,"100 Bluefield Square, Nashville, TN 37214, United States",37214,RED RIVER,1505,15.0,1770430.59917683,666861.601361812,100 BLUEFIELD SQUARE,2019-03-15,True,1,2019-03-15,1,0,True
52252,2018-03-07,Trash - Curbside/Alley Missed Pickup,Missed- trash,100 Braxton Hill Ct,37204,RED RIVER,3302S,25.0,1733780.50449511,640909.303557028,100 BRAXTON HILL CT,2018-03-07,True,1,2018-03-07,1,0,True
121431,2018-12-05,Trash - Curbside/Alley Missed Pickup,Missed- trash,100 Brook Hollow Rd,37205,RED RIVER,1303,23.0,1708042.84875703,642454.642918141,100 BROOK HOLLOW RD,2018-12-05,True,1,2018-12-05,1,0,True
30424,2017-11-28,Trash - Curbside/Alley Missed Pickup,missed pick up,100 cedarmont ct,37211,RED RIVER,4403,31.0,1760265.30120643,622441.1079589,100 CEDARMONT CT,2017-11-28,True,1,2017-11-28,1,0,True
142247,2019-02-14,Trash - Curbside/Alley Missed Pickup,Trash was not collected from any customers on my street.,"100 Clydelan Ct, Nashville, TN 37205, United States",37205,RED RIVER,1302,34.0,1710255.29821566,640390.616148885,100 CLYDELAN CT,2019-02-14,True,1,2019-02-14,1,0,True
266537,2019-10-31,Trash - Curbside/Alley Missed Pickup,miss,"100 Desoto Dr, Nashville, TN 37210, United States",37210,RED RIVER,4303,16.0,1752861.00198025,652927.202481481,100 DESOTO DR,2019-10-31,True,1,2019-10-31,1,0,True
265684,2019-10-29,Trash - Curbside/Alley Missed Pickup,everyone on dyer ct has had trash pick up missed,"100 Dyer Ct, Nashville, TN 37218, United States",37218,RED RIVER,3204,1.0,1722361.36684609,686350.278480921,100 DYER CT,2019-10-29,True,1,2019-10-29,1,0,True
122138,2018-12-07,Trash - Curbside/Alley Missed Pickup,Missed our trash can,"100 Graeme Dr, Nashville, TN 37214, United States",37214,RED RIVER,1504,15.0,1761320.19889735,670492.800607893,100 GRAEME DR,2018-12-07,True,1,2018-12-07,1,0,True
125005,2018-12-20,Trash - Curbside/Alley Missed Pickup,still out this street missed,"100 Iroquois Ct, Nashville, TN 37205, United States",37205,RED RIVER,3301,34.0,1718588.79237104,642893.895038541,100 IROQUOIS CT,2018-12-20,True,1,2018-12-20,1,0,True
144795,2019-02-21,Trash - Curbside/Alley Missed Pickup,street missed,"100 Lincoln Ct, Nashville, TN 37205, United States",37205,RED RIVER,1302,23.0,1712981.64105293,645699.501513026,100 LINCOLN CT,2019-02-21,True,1,2019-02-21,1,0,True
208221,2019-07-01,Trash - Curbside/Alley Missed Pickup,missed the whole area,"100 Nashboro Greens, Nashville, TN 37217, United States",37217,RED RIVER,2505,29.0,1778870.82969731,640860.298134754,100 NASHBORO GREENS,2019-07-01,True,1,2019-07-01,1,0,True
219376,2019-07-23,Trash - Curbside/Alley Missed Pickup,continuous misses,"100 Nashboro Greens, Nashville, TN 37217, United States",37217,RED RIVER,2505,29.0,1778870.82969731,640860.298134754,100 NASHBORO GREENS,2019-07-23,True,2,2019-07-23,2,200,True
207697,2019-06-28,Trash - Curbside/Alley Missed Pickup,Trash was not picked up,"100 Oceanfront Cir N, Nashville, TN 37013, United States",37013,RED RIVER,4310,33.0,1796032.968936,627102.315434983,100 OCEANFRONT CIR N,2019-06-28,True,1,2019-06-28,1,0,True
77319,2018-06-22,Trash - Curbside/Alley Missed Pickup,"Trash/curb sit's by church, has been missed often Wednesday's. On Miller St side. UNIT-C",100 Peachtree St C,37210,RED RIVER,4301,16.0,1749771.10777439,651260.225638526,100 PEACHTREE ST C,2018-06-22,True,1,2018-06-22,1,0,True
187906,2019-05-22,Trash - Curbside/Alley Missed Pickup,1 cart,"100 Rhine Dr, Nashville, TN 37115, United States",37115,RED RIVER,3212,8.0,1750465.79837879,703800.798806481,100 RHINE DR,2019-05-22,True,1,2019-05-22,1,0,True
216148,2019-07-17,Trash - Curbside/Alley Missed Pickup,Curb trash/missed Tuesday Dead end street. Check others,"100 Rhine Dr, Nashville, TN 37115, United States",37115,RED RIVER,3212,8.0,1750465.79837879,703800.798806481,100 RHINE DR,2019-07-17,True,2,2019-07-17,2,200,True
245177,2019-09-11,Trash - Curbside/Alley Missed Pickup,cart still on curb upset didn't give name,"100 S Graycroft Ave, Nashville, TN 37115, United States",37115,RED RIVER,3214,8.0,1752489.50201499,703450.683280265,100 S GRAYCROFT AVE,2019-09-11,True,1,2019-09-11,1,0,True
256932,2019-10-09,Trash - Curbside/Alley Missed Pickup,missed trash,"100 S GRAYCROFT AVE, 37115",37115,RED RIVER,3214,8.0,1752489.50201499,703450.683280265,100 S GRAYCROFT AVE,2019-10-09,True,2,2019-10-09,2,200,True
