Request Number,Date Opened,Request,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,address_norm,date_only,new_event,event_id,event_date,event_seq,fine_event,first_event
219376,2019-07-23,Trash - Curbside/Alley Missed Pickup,continuous misses,"100 Nashboro Greens, Nashville, TN 37217, United States",37217,RED RIVER,2505,29.0,1778870.82969731,640860.298134754,100 NASHBORO GREENS,2019-07-23,True,2,2019-07-23,2,200,True
216148,2019-07-17,Trash - Curbside/Alley Missed Pickup,Curb trash/missed Tuesday Dead end street. Check others,"100 Rhine Dr, Nashville, TN 37115, United States",37115,RED RIVER,3212,8.0,1750465.79837879,703800.798806481,100 RHINE DR,2019-07-17,True,2,2019-07-17,2,200,True
256932,2019-10-09,Trash - Curbside/Alley Missed Pickup,missed trash,"100 S GRAYCROFT AVE, 37115",37115,RED RIVER,3214,8.0,1752489.50201499,703450.683280265,100 S GRAYCROFT AVE,2019-10-09,True,2,2019-10-09,2,200,True
169354,2019-04-15,Trash - Curbside/Alley Missed Pickup,missed trash,"1000 Flintlock Ct, Nashville, TN 37217, United States",37217,RED RIVER,2505,29.0,1780095.76606277,638311.436049915,1000 FLINTLOCK CT,2019-04-15,True,2,2019-04-15,2,200,True
233815,2019-08-19,Trash - Curbside/Alley Missed Pickup,EVERYONE'S TRASH IS STILL OUT.,"1000 Trevino Pl, Antioch, Tennessee, 37013",37013,RED RIVER,3505,29.0,1785842.68515534,636907.168793178,1000 TREVINO PL,2019-08-19,True,2,2019-08-19,2,200,True
264810,2019-10-28,Trash - Curbside/Alley Missed Pickup,"2 weeks missed, Friday's pickup, why? out on time. Curb cart still out.
Entire street","1000 Trevino Pl, Antioch, Tennessee, 37013",37013,RED RIVER,3505,29.0,1785842.68515534,636907.168793178,1000 TREVINO PL,2019-10-28,True,3,2019-10-28,3,200,True
263026,2019-10-23,Trash - Curbside/Alley Missed Pickup,this area missed,"1000 Trice Dr, Nashville, TN 37209, United States",37209,RED RIVER,4203,20.0,1714934.40027411,665628.601556997,1000 TRICE DR,2019-10-23,True,2,2019-10-23,2,200,True
199935,2019-06-14,Trash - Curbside/Alley Missed Pickup,The entire side of the street was missed,1002 N Graycroft Ave,37115,RED RIVER,3412,8.0,1755201.99948166,709260.598116478,1002 N GRAYCROFT AVE,2019-06-14,True,2,2019-06-14,2,200,True
135723,2019-01-29,Trash - Backdoor,Backdoor/Trash missed Tuesday. Everyone else where pickup.,"1004 Chateau Valley Ct, Nashville, TN 37207, United States",37207,RED RIVER,3205,2.0,1729327.38822226,685420.29070055,1004 CHATEAU VALLEY CT,2019-01-29,True,2,2019-01-29,2,200,True
252852,2019-09-27,Trash - Curbside/Alley Missed Pickup,"cart still out trash/missed last week Friday curb 
every week having to call in for being missed.","1004 Trevino Pl, Antioch, Tennessee, 37013",37013,RED RIVER,3505,29.0,1785872.19833276,636813.419190771,1004 TREVINO PL,2019-09-27,True,2,2019-09-27,2,200,True
266416,2019-10-31,Trash - Backdoor,backdoor/trash/miss {Wednesday},"1005 GRAYBAR LN, 37204",37204,RED RIVER,4305,25.0,1735409.80179727,647119.001249803,1005 GRAYBAR LN,2019-10-31,True,2,2019-10-31,2,200,True
64752,2018-05-03,Trash - Backdoor,backdoor miss,1005 noelton ave,37204,RED RIVER,4305,25.0,1735509.14464316,648452.047818538,1005 NOELTON AVE,2018-05-03,True,2,2018-05-03,2,200,True
68232,2018-05-17,Trash Collection Complaint,backdoor miss- has been missed for 3 weeks in a row. Please address the driver.,1005 noelton ave,37204,RED RIVER,4305,25.0,1735509.14464316,648452.047818538,1005 NOELTON AVE,2018-05-17,True,3,2018-05-17,3,200,True
87418,2018-08-02,Trash - Backdoor,backdoor miss- has been missed for 3 weeks in a row. Please address the driver.,1005 noelton ave,37204,RED RIVER,4305,25.0,1735508.33494859,648451.897016741,1005 NOELTON AVE,2018-08-02,True,4,2018-08-02,4,200,True
266486,2019-10-31,Trash - Backdoor,backdoor miss- trash,1005 noelton ave,37204,RED RIVER,4305,25.0,1735509.80031784,648449.401465765,1005 NOELTON AVE,2019-10-31,True,5,2019-10-31,5,200,True
213342,2019-07-11,Trash - Backdoor,backdoor miss,"1006 Grandview Dr, Nashville, TN 37204, United States",37204,RED RIVER,4305,25.0,1735198.60102765,646727.800768655,1006 GRANDVIEW DR,2019-07-11,True,2,2019-07-11,2,200,True
220879,2019-07-26,Trash - Backdoor,"backdoor trash, keeps getting missed.","1006 Grandview Dr, Nashville, TN 37204, United States",37204,RED RIVER,4305,25.0,1735198.60102765,646727.800768655,1006 GRANDVIEW DR,2019-07-26,True,3,2019-07-26,3,200,True
157064,2019-03-20,Trash - Curbside/Alley Missed Pickup,3rd week. Has pick up day changed?,"1007 Alice St, Nashville, TN 37218, United States",37218,RED RIVER,3202,2.0,1729404.69583684,681771.020848538,1007 ALICE ST,2019-03-20,True,2,2019-03-20,2,200,True
160961,2019-03-28,Trash - Curbside/Alley Missed Pickup,4th week of no pick up for the street.,"1007 ALICE ST, 37218",37218,RED RIVER,3202,2.0,1729404.69583684,681771.020848538,1007 ALICE ST,2019-03-28,True,3,2019-03-28,3,200,True
195314,2019-06-05,Trash - Curbside/Alley Missed Pickup,Trash was not picked up on the street,"1007 Alice St, Nashville, TN 37218, United States",37218,RED RIVER,3202,2.0,1729404.69426759,681771.020848538,1007 ALICE ST,2019-06-05,True,4,2019-06-05,4,200,True
56898,2018-03-28,Trash - Backdoor,missed pick up - backdoor,1007 Draughon Ave,37204,RED RIVER,4305,25.0,1735587.58739874,647555.872341682,1007 DRAUGHON AVE,2018-03-28,True,2,2018-03-28,2,200,True
168244,2019-04-11,Trash - Backdoor,missed again,1007 EDWIN WARNER DR,37205,RED RIVER,1303,23.0,1707892.81140102,640785.643548246,1007 EDWIN WARNER DR,2019-04-11,True,2,2019-04-11,2,200,True
